pseudo_id,team_id,seniority,timezone
b3d91e57-9a7d-4cda-a450-383f1c7ec769,DATA,LEAD,UTC-5
769a7cba-47ce-4ed2-a35a-a6433848fe50,DATA,SENIOR,UTC+0
77e1cb6d-443f-46ce-8c65-f8909062746f,DATA,JUNIOR,UTC+0
39f4d21a-7a85-432c-9e0d-2bba02894d30,DATA,MID,UTC+5:30
2efc7fc0-305c-41ad-8f86-6eeafc6f9c9f,DATA,MID,UTC-8
04e28d31-41f9-49c6-8930-37f7a8f3c571,DATA,JUNIOR,UTC-5
1ffea658-9246-44a2-826f-b2e09a3246d7,DATA,LEAD,UTC-5
0353aea8-c6dd-4156-a51c-3f66380125d8,DESIGN,MID,UTC+0
c644d166-74e7-4ea7-ad13-698aec444264,DESIGN,LEAD,UTC+5:30
3d350476-2aca-427b-8b61-04f18a563ad8,DESIGN,JUNIOR,UTC-8
0ee1ff4c-9a40-431e-94f8-92fab726a88f,DESIGN,SENIOR,UTC+0
f90df68e-1024-4d98-9097-120ab143ae98,DESIGN,JUNIOR,UTC-8
d9d8ece0-65a5-401d-ac7a-f8669ed88bac,DESIGN,LEAD,UTC+0
2f9229d6-f181-433d-a6d9-b0ccde4b8f39,DESIGN,MID,UTC-8
1ccbad81-f8ad-40c2-ade3-07501c8d878c,DESIGN,MANAGER,UTC+0
6ca3871a-9af7-4896-9498-7d83d8060756,DESIGN,SENIOR,UTC-8
5c77b168-1d01-45e1-9bc7-3a1ffd7d8e9a,DESIGN,MANAGER,UTC-5
fdb270e2-5057-4354-870e-02ed29062144,OPS,MANAGER,UTC-8
b11f7acc-a747-4370-9f0d-cadb0ad2a755,OPS,JUNIOR,UTC+0
a4600481-a09e-4e6b-935f-4ce772ddf074,OPS,JUNIOR,UTC+5:30
21cd6d95-964b-4f7d-832c-d323722a9360,OPS,MID,UTC+0
039f2803-83c6-410f-ad72-a59c921ad104,OPS,MID,UTC+5:30
a0524f07-e43d-49b1-b0a0-1e49cd4d033f,OPS,JUNIOR,UTC+5:30
c8cff4cc-fd01-4a4e-aac5-a828caef44fe,OPS,MID,UTC+5:30
8219c5e0-ad2c-49b0-81a0-02af9656d42e,OPS,LEAD,UTC+5:30
9a3804cd-f893-4f94-b3fc-46256cdd5440,OPS,MID,UTC-5
75244537-efca-4562-bfea-644c1ccf0fed,OPS,SENIOR,UTC+0
a2092976-edbe-4f82-949b-6f2438dde0ed,OPS,MID,UTC-8
4c405355-054e-475f-bebd-a34c5d4ba546,OPS,MID,UTC-8
137ecd1c-231b-47dc-90bc-781baa9f8953,SALES,SENIOR,UTC+0
e4a39c96-c821-4741-b02e-cd3fe6d42698,SALES,JUNIOR,UTC-8
f91b85e3-519c-448b-82c2-86695cbf3fbd,SALES,MID,UTC-8
e3980e3e-8b3f-479c-a725-d9c0fc74b8d6,SALES,MID,UTC+5:30
c58113aa-36da-4c87-ac48-6dd66aefafff,SALES,SENIOR,UTC+5:30
2a28877b-21d1-4c1d-a4aa-f0ea2f0c144b,SALES,JUNIOR,UTC-5
05c0597e-0fe7-41b0-b3af-aa8aedf27dc5,SALES,SENIOR,UTC+5:30
bb09f881-1158-4985-be8c-a69ccc3bed0d,SALES,MID,UTC+0
43d6b000-b738-43af-96a3-5cb8631318a6,SALES,MID,UTC+0
5247ea07-1b47-4812-a01b-9bdf1d6e5bad,SALES,MID,UTC-5
43129c61-8036-4427-827d-2d85fd12eb26,SALES,MID,UTC+5:30
b6e496ae-548f-48a4-a614-887e63299eb1,SALES,MID,UTC+5:30
21f94245-f8be-41f1-8a6e-389b41eb7c00,SALES,JUNIOR,UTC+5:30
aa382f7b-546b-42f0-a336-eae2519d58ed,SALES,MANAGER,UTC+0
7e4031f8-7e2e-4872-8442-e37fd402e525,SALES,JUNIOR,UTC-8
bf13dff4-4843-4de4-8026-4329587286f4,HR,MANAGER,UTC-8
285204a0-31e0-449a-afb2-f7a66307af06,HR,LEAD,UTC+0
04f1ecca-4695-4cab-b93b-90292d1911cd,HR,MID,UTC-8
6fd33ba9-3516-468f-83d8-4a91580d949e,HR,MID,UTC-8
834ef36a-58d8-46ea-af85-12e4d7380033,HR,MID,UTC-8
0d079c6e-f657-403a-82ee-cf0c9b4d1ccf,HR,JUNIOR,UTC-5
822d05ae-da7b-4695-a338-cd577db48c2d,HR,MID,UTC+5:30
4c011558-52d8-4bba-bb44-6e2f5a26aaa8,HR,MID,UTC+5:30
a7fdf8ae-7c7d-4556-8f6b-734029aa9746,LEGAL,MANAGER,UTC+5:30
a91f552a-babb-4f81-9c73-e7cd3fe35e2b,LEGAL,JUNIOR,UTC-8
bedadcd3-f883-42d7-9b4b-f7528da8a24f,LEGAL,MID,UTC+0
af68a0d4-6fb2-402e-9d8a-d02ebfa454ab,LEGAL,JUNIOR,UTC+5:30
07659d75-91be-4f74-a0bd-62e9b0fa2211,LEGAL,LEAD,UTC+5:30
62ebae02-b5ae-4adc-b0b9-b59041e72727,LEGAL,MID,UTC+0
1299707e-9b40-45ea-a465-65598f58cc89,LEGAL,MID,UTC+0
