pseudo_id,window_start,window_end,meeting_density,after_hours_ratio,response_latency_avg,focus_time_blocks,msg_volume_daily,msg_response_time,mention_load,commit_frequency,pr_review_load,context_switch_rate,after_hours_commits,hrv_avg,sleep_score,burnout_label
17787073-df12-4482-86ae-7123b669c347,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.198,0.28,0.303,0.775,0.508,0.353,0.313,0.223,0.859,0.411,0.8,0.5,0.195,1
d090ae82-aafb-496e-9eb9-5111490752f9,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.402,0.205,0.708,0.846,0.371,0.753,0.323,0.211,0.445,0.37,0.226,0.752,0.83,0
5af7ebb3-6f71-4fc9-9e83-a48ad9e75f29,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.351,0.681,0.118,0.543,0.309,0.46,0.37,0.197,0.193,0.516,0.727,0.331,0.384,1
f951634f-5cce-4321-9640-df81f035b25e,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.108,0.358,0.588,0.638,0.577,0.449,0.295,0.724,0.434,0.423,0.22,0.5,0.746,0
dd085131-9f44-475d-ab3b-e417ecc3bb0f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.274,0.06,0.468,0.74,0.362,0.383,0.334,0.189,0.349,0.116,0.118,0.5,0.625,0
2b6a0ca6-e8be-4c6e-991f-5d79462957a1,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.154,0.212,0.325,0.59,0.285,0.463,0.481,0.365,0.401,0.599,0.076,0.5,0.5,0
2a7f066d-4fb8-4a06-9407-ad6109eef4be,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.5,0.715,0.089,0.791,0.461,0.677,0.575,0.24,0.108,0.191,0.882,0.5,0.134,1
9bb202fe-430e-48a9-ace4-2ad783fbe567,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.428,0.388,0.354,0.413,0.325,0.639,0.579,0.378,0.386,0.146,0.207,0.5,0.809,0
b8d060a5-1b0a-48b8-8636-6586ea26291a,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.44,0.26,0.361,0.892,0.513,0.474,0.314,0.359,0.302,0.305,0.255,0.5,0.73,0
267b61b0-0c6e-40cc-911d-a3d320bc423b,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.354,0.34,0.654,0.618,0.494,0.783,0.235,0.666,0.315,0.39,0.131,0.719,0.5,0
55748209-f3c0-458d-affd-856d5d2092ac,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.432,0.08,0.741,0.522,0.386,0.605,0.289,0.12,0.44,0.209,0.064,0.739,0.684,0
06df8715-ddb2-4c3f-8a19-512b788ac295,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.322,0.231,0.396,0.521,0.363,0.578,0.22,0.433,0.385,0.369,0.005,0.588,0.808,0
9af04a5c-b9ea-4f7c-a5fc-96043fa2f42c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.366,0.179,0.577,0.572,0.599,0.575,0.276,0.418,0.223,0.238,0.216,0.5,0.657,0
a4f6689e-3251-4e53-8bcd-42077d81bff7,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.211,0.256,0.68,0.698,0.592,0.716,0.248,0.353,0.221,0.525,0.038,0.5,0.5,0
51bc931e-7df6-4b15-96b3-f9a22d31881c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.355,0.313,0.351,0.406,0.314,0.539,0.27,0.776,0.201,0.617,0.034,0.52,0.5,0
e4919619-5091-4adf-a37f-2d7efbf3ab86,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.161,0.334,0.775,0.443,0.299,0.579,0.308,0.517,0.347,0.565,0.114,0.773,0.858,0
a3a5893d-7468-4dc5-be56-1ed668a269c9,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.222,0.671,0.047,0.77,0.579,0.404,0.206,0.562,0.163,0.204,0.682,0.358,0.121,1
d07951d8-d260-4027-9eed-ecbf28a44ec0,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.193,0.701,0.1,0.695,0.522,0.399,0.157,0.257,0.16,0.259,0.861,0.383,0.25,1
d7a4e004-1dca-4f1b-9e3d-d49edb6643ef,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.298,0.078,0.32,0.616,0.329,0.425,0.146,0.773,0.434,0.445,0.285,0.8,0.5,0
f24b5a20-c23b-4815-a2bb-cff5debb7d79,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.288,0.278,0.758,0.491,0.434,0.617,0.346,0.164,0.239,0.3,0.201,0.757,0.723,0
87746b02-4950-4edf-8b7a-260824f6d2b3,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.215,0.381,0.707,0.675,0.382,0.457,0.262,0.779,0.811,0.409,0.885,0.288,0.5,1
01916bac-70cb-424b-a117-3a0e6e16d7b9,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.404,0.121,0.575,0.864,0.375,0.649,0.161,0.781,0.344,0.244,0.048,0.665,0.5,0
1bbf9f0a-5f86-48c8-983e-584efee7a98c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.285,0.091,0.716,0.649,0.487,0.554,0.237,0.684,0.492,0.246,0.165,0.5,0.859,0
2acef363-4395-48bd-b36a-03e54ab5a1bd,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.409,0.968,0.123,0.794,0.307,0.301,0.463,0.686,0.332,0.496,0.982,0.172,0.215,1
5485d680-4df8-46ba-b991-f9c1d4987ccd,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.442,0.194,0.459,0.636,0.565,0.491,0.594,0.655,0.361,0.191,0.289,0.538,0.861,0
e89893ac-604e-46b1-ba20-53370ff6493b,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.14,0.369,0.308,0.472,0.548,0.785,0.137,0.0,0.0,0.569,0.0,0.58,0.795,0
4104713f-a469-4f59-bbb1-01c3da9e9bc8,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.441,0.351,0.49,0.558,0.487,0.68,0.536,0.0,0.0,0.122,0.0,0.521,0.5,0
e4ff31ca-ea02-401f-8b38-e466fb0e0ede,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.274,0.084,0.617,0.836,0.377,0.647,0.552,0.0,0.0,0.128,0.0,0.739,0.708,0
7dfcaaa4-04f8-4aff-a75d-9edc71367161,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.945,0.744,0.011,0.796,0.268,0.339,0.535,0.0,0.0,0.472,0.0,0.5,0.37,1
faf19c19-3cdc-4cb6-a515-825c88dcf752,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.371,0.105,0.521,0.573,0.435,0.619,0.312,0.0,0.0,0.25,0.0,0.5,0.9,0
faa4d344-856e-456a-bcbf-64d8dcf36547,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.944,0.916,0.04,0.548,0.48,0.311,0.515,0.0,0.0,0.337,0.0,0.5,0.166,1
46afa27c-6077-45a5-995c-c20a36d4c25b,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.176,0.138,0.678,0.784,0.472,0.368,0.149,0.0,0.0,0.476,0.0,0.512,0.61,0
0d0dd1c3-b5d0-4b4e-9844-8bbd91744a0e,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.393,0.082,0.448,0.774,0.27,0.366,0.37,0.0,0.0,0.683,0.0,0.659,0.849,0
4dad4fe0-16da-473e-abab-e56955674ab3,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.466,0.38,0.784,0.548,0.548,0.702,0.334,0.0,0.0,0.145,0.0,0.5,0.858,0
bc77ec85-8e5d-4566-91b5-ad0f82b871dd,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.487,0.332,0.483,0.795,0.206,0.568,0.327,0.0,0.0,0.504,0.0,0.702,0.847,0
78a9afaa-3a32-46fc-a886-0595f98de482,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.143,0.132,0.313,0.842,0.425,0.758,0.211,0.0,0.0,0.138,0.0,0.747,0.5,0
3a12fc0e-4f58-4e16-9c53-6d5b90711687,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.156,0.381,0.452,0.646,0.239,0.744,0.168,0.0,0.0,0.372,0.0,0.701,0.5,0
9b230649-1247-490f-96d0-0c5f5fec4e55,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.454,0.279,0.717,0.708,0.576,0.44,0.445,0.0,0.0,0.23,0.0,0.5,0.5,0
1d9e8d92-59ea-4dfe-ad6f-82f13c5d8c3f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.492,0.179,0.751,0.722,0.224,0.438,0.584,0.0,0.0,0.669,0.0,0.5,0.5,0
81a7a377-e188-4b18-9d48-205d554696e7,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.12,0.167,0.794,0.793,0.282,0.715,0.377,0.0,0.0,0.452,0.0,0.5,0.5,0
5a3a3d90-c2de-4daa-953e-27a902926e80,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.834,0.259,0.439,0.041,0.595,0.57,0.499,0.0,0.0,0.166,0.0,0.5,0.5,1
4e2d66bf-8f4d-4217-ae5b-f47fa8765890,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.121,0.31,0.563,0.773,0.39,0.689,0.357,0.0,0.0,0.165,0.0,0.5,0.818,0
6c14ce8c-0359-4912-837d-828281134085,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.283,0.387,0.33,0.639,0.361,0.643,0.345,0.0,0.0,0.646,0.0,0.5,0.5,0
bae4d2c5-3330-486c-81e0-b34e9903a3ab,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.126,0.772,0.069,0.674,0.33,0.797,0.365,0.418,0.342,0.16,0.739,0.5,0.5,1
0c8a272d-82b6-4ca1-a1a5-efe342bdea81,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.138,0.199,0.633,0.587,0.261,0.761,0.134,0.682,0.137,0.158,0.222,0.5,0.776,0
e5da74dc-3f94-48fe-bd52-2cda8a57f6bc,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.368,0.194,0.737,0.871,0.369,0.758,0.126,0.301,0.225,0.162,0.152,0.546,0.5,0
e8bbe059-238c-4865-ab69-359f72d69f97,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.24,0.245,0.357,0.539,0.29,0.515,0.38,0.637,0.349,0.505,0.167,0.683,0.609,0
c2dd9fec-95da-454b-9205-7b3b37a47e28,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.381,0.158,0.47,0.403,0.548,0.583,0.3,0.199,0.353,0.118,0.224,0.565,0.5,0
bcd328e7-bb01-49ed-8b04-84356bd8003c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.248,0.303,0.688,0.684,0.234,0.326,0.179,0.532,0.742,0.263,0.745,0.185,0.5,1
c562c4b1-c1dd-4517-a0f8-da2a0cba7f4c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.371,0.22,0.634,0.423,0.358,0.6,0.104,0.311,0.184,0.182,0.077,0.5,0.749,0
2327ca37-e782-47fa-91ed-8ae84675e2d6,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.17,0.183,0.652,0.65,0.533,0.703,0.136,0.703,0.117,0.111,0.276,0.759,0.772,0
b3d91e57-9a7d-4cda-a450-383f1c7ec769,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.216,0.192,0.783,0.486,0.579,0.53,0.445,0.353,0.275,0.164,0.131,0.5,0.719,0
769a7cba-47ce-4ed2-a35a-a6433848fe50,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.398,0.128,0.69,0.438,0.453,0.565,0.197,0.643,0.24,0.675,0.194,0.5,0.5,0
77e1cb6d-443f-46ce-8c65-f8909062746f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.169,0.104,0.68,0.438,0.581,0.614,0.332,0.495,0.332,0.509,0.265,0.693,0.859,0
39f4d21a-7a85-432c-9e0d-2bba02894d30,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.16,0.852,0.134,0.551,0.31,0.328,0.354,0.317,0.281,0.134,0.878,0.5,0.112,1
2efc7fc0-305c-41ad-8f86-6eeafc6f9c9f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.464,0.25,0.394,0.703,0.401,0.779,0.325,0.668,0.435,0.689,0.025,0.5,0.674,0
04e28d31-41f9-49c6-8930-37f7a8f3c571,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.496,0.687,0.096,0.582,0.567,0.494,0.487,0.575,0.121,0.479,0.954,0.193,0.5,1
1ffea658-9246-44a2-826f-b2e09a3246d7,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.362,0.282,0.364,0.754,0.234,0.579,0.422,0.33,0.151,0.522,0.284,0.5,0.794,0
0353aea8-c6dd-4156-a51c-3f66380125d8,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.937,0.056,0.454,0.16,0.337,0.683,0.196,0.0,0.0,0.7,0.0,0.365,0.5,1
c644d166-74e7-4ea7-ad13-698aec444264,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.115,0.168,0.683,0.466,0.351,0.381,0.516,0.0,0.0,0.563,0.0,0.5,0.5,0
3d350476-2aca-427b-8b61-04f18a563ad8,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.264,0.287,0.419,0.622,0.314,0.674,0.324,0.0,0.0,0.42,0.0,0.593,0.5,0
0ee1ff4c-9a40-431e-94f8-92fab726a88f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.247,0.381,0.792,0.631,0.313,0.491,0.364,0.0,0.0,0.68,0.0,0.5,0.5,0
f90df68e-1024-4d98-9097-120ab143ae98,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.948,0.356,0.577,0.169,0.972,0.085,0.243,0.0,0.0,0.558,0.0,0.5,0.5,1
d9d8ece0-65a5-401d-ac7a-f8669ed88bac,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.259,0.181,0.493,0.441,0.29,0.459,0.15,0.0,0.0,0.529,0.0,0.5,0.641,0
2f9229d6-f181-433d-a6d9-b0ccde4b8f39,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.939,0.215,0.716,0.053,0.762,0.053,0.553,0.0,0.0,0.111,0.0,0.5,0.292,1
1ccbad81-f8ad-40c2-ade3-07501c8d878c,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.349,0.072,0.718,0.65,0.414,0.616,0.388,0.0,0.0,0.531,0.0,0.5,0.5,0
6ca3871a-9af7-4896-9498-7d83d8060756,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.906,0.116,0.634,0.187,0.796,0.013,0.372,0.0,0.0,0.572,0.0,0.5,0.337,1
5c77b168-1d01-45e1-9bc7-3a1ffd7d8e9a,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.238,0.307,0.614,0.786,0.494,0.466,0.122,0.0,0.0,0.428,0.0,0.5,0.849,0
fdb270e2-5057-4354-870e-02ed29062144,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.492,0.217,0.391,0.467,0.486,0.772,0.118,0.0,0.0,0.221,0.0,0.5,0.695,0
b11f7acc-a747-4370-9f0d-cadb0ad2a755,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.966,0.954,0.107,0.527,0.501,0.396,0.278,0.0,0.0,0.569,0.0,0.216,0.392,1
a4600481-a09e-4e6b-935f-4ce772ddf074,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.298,0.224,0.762,0.66,0.52,0.664,0.139,0.0,0.0,0.461,0.0,0.747,0.5,0
21cd6d95-964b-4f7d-832c-d323722a9360,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.231,0.153,0.523,0.759,0.267,0.522,0.324,0.0,0.0,0.536,0.0,0.773,0.5,0
039f2803-83c6-410f-ad72-a59c921ad104,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.844,0.273,0.482,0.079,0.472,0.776,0.171,0.0,0.0,0.465,0.0,0.5,0.5,1
a0524f07-e43d-49b1-b0a0-1e49cd4d033f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.327,0.262,0.64,0.874,0.349,0.682,0.387,0.0,0.0,0.418,0.0,0.619,0.5,0
c8cff4cc-fd01-4a4e-aac5-a828caef44fe,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.864,0.115,0.559,0.172,0.846,0.026,0.452,0.0,0.0,0.229,0.0,0.305,0.5,1
8219c5e0-ad2c-49b0-81a0-02af9656d42e,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.987,0.162,0.474,0.153,0.792,0.099,0.526,0.0,0.0,0.527,0.0,0.5,0.5,1
9a3804cd-f893-4f94-b3fc-46256cdd5440,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.244,0.25,0.534,0.892,0.252,0.742,0.133,0.0,0.0,0.339,0.0,0.715,0.758,0
75244537-efca-4562-bfea-644c1ccf0fed,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.429,0.076,0.786,0.721,0.38,0.64,0.272,0.0,0.0,0.627,0.0,0.5,0.5,0
a2092976-edbe-4f82-949b-6f2438dde0ed,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.273,0.369,0.328,0.462,0.261,0.382,0.261,0.0,0.0,0.526,0.0,0.604,0.854,0
4c405355-054e-475f-bebd-a34c5d4ba546,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.179,0.385,0.437,0.713,0.446,0.347,0.42,0.0,0.0,0.455,0.0,0.5,0.798,0
137ecd1c-231b-47dc-90bc-781baa9f8953,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.437,0.247,0.713,0.414,0.218,0.621,0.388,0.0,0.0,0.491,0.0,0.73,0.5,0
e4a39c96-c821-4741-b02e-cd3fe6d42698,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.793,0.813,0.054,0.878,0.393,0.702,0.442,0.0,0.0,0.278,0.0,0.5,0.358,1
f91b85e3-519c-448b-82c2-86695cbf3fbd,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.228,0.396,0.473,0.599,0.504,0.557,0.153,0.0,0.0,0.245,0.0,0.537,0.5,0
e3980e3e-8b3f-479c-a725-d9c0fc74b8d6,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.12,0.381,0.732,0.609,0.585,0.751,0.507,0.0,0.0,0.66,0.0,0.5,0.829,0
c58113aa-36da-4c87-ac48-6dd66aefafff,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.498,0.213,0.74,0.649,0.236,0.497,0.329,0.0,0.0,0.244,0.0,0.5,0.615,0
2a28877b-21d1-4c1d-a4aa-f0ea2f0c144b,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.891,0.345,0.636,0.045,0.874,0.023,0.167,0.0,0.0,0.259,0.0,0.251,0.329,1
05c0597e-0fe7-41b0-b3af-aa8aedf27dc5,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.212,0.396,0.64,0.459,0.59,0.497,0.497,0.0,0.0,0.303,0.0,0.5,0.66,0
bb09f881-1158-4985-be8c-a69ccc3bed0d,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.837,0.066,0.369,0.159,0.389,0.528,0.403,0.0,0.0,0.409,0.0,0.26,0.313,1
43d6b000-b738-43af-96a3-5cb8631318a6,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.22,0.336,0.484,0.737,0.592,0.592,0.498,0.0,0.0,0.535,0.0,0.5,0.779,0
5247ea07-1b47-4812-a01b-9bdf1d6e5bad,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.487,0.324,0.688,0.689,0.489,0.592,0.185,0.0,0.0,0.477,0.0,0.686,0.5,0
43129c61-8036-4427-827d-2d85fd12eb26,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.113,0.382,0.355,0.409,0.325,0.376,0.445,0.0,0.0,0.346,0.0,0.732,0.5,0
b6e496ae-548f-48a4-a614-887e63299eb1,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.382,0.232,0.58,0.899,0.391,0.488,0.578,0.0,0.0,0.376,0.0,0.66,0.803,0
21f94245-f8be-41f1-8a6e-389b41eb7c00,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.344,0.117,0.423,0.679,0.29,0.786,0.249,0.0,0.0,0.273,0.0,0.562,0.695,0
aa382f7b-546b-42f0-a336-eae2519d58ed,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.324,0.377,0.661,0.544,0.429,0.572,0.548,0.0,0.0,0.337,0.0,0.5,0.687,0
7e4031f8-7e2e-4872-8442-e37fd402e525,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.482,0.078,0.762,0.728,0.499,0.407,0.514,0.0,0.0,0.263,0.0,0.669,0.5,0
bf13dff4-4843-4de4-8026-4329587286f4,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.869,0.875,0.124,0.719,0.221,0.507,0.459,0.0,0.0,0.16,0.0,0.5,0.5,1
285204a0-31e0-449a-afb2-f7a66307af06,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.36,0.315,0.444,0.543,0.224,0.684,0.426,0.0,0.0,0.239,0.0,0.5,0.5,0
04f1ecca-4695-4cab-b93b-90292d1911cd,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.986,0.847,0.024,0.418,0.534,0.694,0.193,0.0,0.0,0.549,0.0,0.185,0.5,1
6fd33ba9-3516-468f-83d8-4a91580d949e,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.496,0.24,0.547,0.869,0.54,0.534,0.196,0.0,0.0,0.168,0.0,0.549,0.5,0
834ef36a-58d8-46ea-af85-12e4d7380033,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.986,0.168,0.448,0.096,0.973,0.011,0.419,0.0,0.0,0.343,0.0,0.215,0.5,1
0d079c6e-f657-403a-82ee-cf0c9b4d1ccf,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.876,0.143,0.465,0.171,0.429,0.431,0.28,0.0,0.0,0.242,0.0,0.311,0.193,1
822d05ae-da7b-4695-a338-cd577db48c2d,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.147,0.371,0.448,0.707,0.288,0.367,0.177,0.0,0.0,0.549,0.0,0.682,0.811,0
4c011558-52d8-4bba-bb44-6e2f5a26aaa8,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.951,0.331,0.713,0.173,0.783,0.107,0.494,0.0,0.0,0.415,0.0,0.149,0.5,1
a7fdf8ae-7c7d-4556-8f6b-734029aa9746,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.442,0.205,0.64,0.758,0.396,0.749,0.323,0.0,0.0,0.133,0.0,0.54,0.5,0
a91f552a-babb-4f81-9c73-e7cd3fe35e2b,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.324,0.285,0.454,0.411,0.302,0.302,0.209,0.0,0.0,0.144,0.0,0.5,0.5,0
bedadcd3-f883-42d7-9b4b-f7528da8a24f,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.474,0.074,0.767,0.416,0.364,0.684,0.483,0.0,0.0,0.687,0.0,0.694,0.712,0
af68a0d4-6fb2-402e-9d8a-d02ebfa454ab,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.279,0.371,0.489,0.44,0.586,0.737,0.166,0.0,0.0,0.616,0.0,0.536,0.5,0
07659d75-91be-4f74-a0bd-62e9b0fa2211,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.946,0.315,0.789,0.085,0.929,0.169,0.29,0.0,0.0,0.238,0.0,0.5,0.5,1
62ebae02-b5ae-4adc-b0b9-b59041e72727,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.106,0.122,0.35,0.417,0.439,0.652,0.124,0.0,0.0,0.544,0.0,0.5,0.5,0
1299707e-9b40-45ea-a465-65598f58cc89,2026-04-01T00:00:00Z,2026-04-15T00:00:00Z,0.156,0.398,0.417,0.858,0.43,0.589,0.486,0.0,0.0,0.591,0.0,0.5,0.5,0
